bucket	open	high	low	close	volume	count
2023-04-25T12:00:00+05:30	1121.7	1122.9	1120.25	1122.4	606908	60
2023-04-25T13:00:00+05:30	1122.4	1126.35	1122.35	1124.5	1060254	60
2023-04-25T14:00:00+05:30	1124.6	1134.5	1124.4	1132.7	2711472	60
2023-04-25T15:00:00+05:30	1133.1	1133.35	1130.5	1131.2	1468064	30
2023-04-26T09:00:00+05:30	1133.8	1134.95	1121.95	1125.5	1395714	45
2023-04-26T10:00:00+05:30	1125.25	1128.6	1123.8	1125.8	990752	60
2023-04-26T11:00:00+05:30	1125.8	1127.65	1124.8	1127.65	652478	60
2023-04-26T12:00:00+05:30	1127.7	1129.45	1126.95	1127.45	793662	60
2023-04-26T13:00:00+05:30	1127.35	1127.6	1123.9	1124.75	971122	60
2023-04-26T14:00:00+05:30	1124.75	1126.45	1124.2	1125.1	1159858	60
2023-04-26T15:00:00+05:30	1124.9	1126.35	1124.8	1125.7	1968202	30
2023-04-27T09:00:00+05:30	1131.9	1132.6	1126.75	1131.4	1520226	45
2023-04-27T10:00:00+05:30	1131.4	1133.35	1129.55	1131.15	1815878	60
2023-04-27T11:00:00+05:30	1130.9	1131.7	1129.1	1129.3	810692	60
2023-04-27T12:00:00+05:30	1129.1	1130.5	1128.0	1129.8	637492	60
2023-04-27T13:00:00+05:30	1129.8	1130.5	1129.1	1129.7	721568	60
2023-04-27T14:00:00+05:30	1129.7	1132.9	1128.9	1130.5	1053860	60
2023-04-27T15:00:00+05:30	1130.8	1135.3	1130.8	1135.1	2029786	30
2023-04-28T09:00:00+05:30	1135.25	1144.8	1135.25	1143.85	2215752	45
2023-04-28T10:00:00+05:30	1143.85	1146.2	1139.8	1146.1	1548362	60
2023-04-28T11:00:00+05:30	1146.2	1148.95	1144.7	1148.05	1376670	60
2023-04-28T12:00:00+05:30	1148.1	1151.5	1145.5	1147.4	1934216	60
2023-04-28T13:00:00+05:30	1147.45	1151.0	1146.8	1147.45	1111650	60
2023-04-28T14:00:00+05:30	1147.65	1152.4	1146.95	1148.5	2162984	60
2023-04-28T15:00:00+05:30	1148.5	1155.2	1148.35	1153.3	4540098	30
2023-05-02T09:00:00+05:30	1161.1	1165.25	1157.9	1161.7	2632686	45
2023-05-02T10:00:00+05:30	1161.7	1162.2	1158.4	1159.3	1351418	60
2023-05-02T11:00:00+05:30	1159.3	1162.1	1158.2	1161.2	1079944	60
2023-05-02T12:00:00+05:30	1161.2	1164.1	1160.3	1163.75	1250904	60
2023-05-02T13:00:00+05:30	1163.75	1165.65	1163.0	1165.05	1951712	60
2023-05-02T14:00:00+05:30	1165.05	1165.3	1160.1	1160.5	1428708	60
2023-05-02T15:00:00+05:30	1160.75	1164.3	1160.5	1163.0	2577126	30
2023-05-03T09:00:00+05:30	1165.3	1165.3	1150.1	1154.8	1839420	45
2023-05-03T10:00:00+05:30	1154.8	1156.4	1152.4	1156.0	833472	60
2023-05-03T11:00:00+05:30	1156.0	1156.0	1153.85	1155.9	605326	60
2023-05-03T12:00:00+05:30	1155.9	1156.15	1154.4	1155.55	438460	60
2023-05-03T13:00:00+05:30	1155.6	1156.0	1151.5	1152.2	693832	60
2023-05-03T14:00:00+05:30	1151.95	1155.05	1151.7	1152.9	767360	60
2023-05-03T15:00:00+05:30	1152.95	1154.7	1151.75	1152.4	1321384	30
2023-05-04T09:00:00+05:30	1153.9	1158.4	1151.0	1157.35	1245692	45
2023-05-04T10:00:00+05:30	1157.3	1161.5	1157.25	1161.3	740204	60
2023-05-04T11:00:00+05:30	1161.5	1161.95	1159.1	1161.25	553488	60
2023-05-04T12:00:00+05:30	1161.25	1162.75	1159.7	1161.35	757938	60
2023-05-04T13:00:00+05:30	1161.5	1164.8	1159.2	1163.75	2150310	60
2023-05-04T14:00:00+05:30	1164.1	1165.25	1162.5	1164.6	972490	60
2023-05-04T15:00:00+05:30	1164.7	1169.0	1164.35	1165.3	1819622	30
2023-05-05T09:00:00+05:30	1163.4	1173.0	1161.0	1171.95	2191646	45
2023-05-05T10:00:00+05:30	1171.95	1172.9	1168.2	1170.2	1162946	60
2023-05-05T11:00:00+05:30	1170.25	1170.3	1163.85	1164.75	1242404	60
2023-05-05T12:00:00+05:30	1164.8	1167.7	1163.2	1165.0	1173580	60
2023-05-05T13:00:00+05:30	1165.0	1166.1	1162.0	1162.7	786316	60
2023-05-05T14:00:00+05:30	1162.4	1167.5	1162.4	1164.25	793794	60
2023-05-05T15:00:00+05:30	1164.35	1165.8	1162.4	1163.4	969438	30
2023-05-08T09:00:00+05:30	1167.7	1174.65	1165.0	1172.2	1383506	45
2023-05-08T10:00:00+05:30	1172.2	1173.6	1169.3	1172.4	979052	60
2023-05-08T11:00:00+05:30	1172.4	1173.4	1170.15	1173.1	580680	60
2023-05-08T12:00:00+05:30	1173.3	1180.5	1172.2	1178.1	1653066	60
2023-05-08T13:00:00+05:30	1178.1	1182.45	1176.8	1181.05	1338290	60
2023-05-08T14:00:00+05:30	1181.05	1183.65	1177.7	1178.15	1229286	60
2023-05-08T15:00:00+05:30	1178.4	1179.3	1176.3	1177.7	1613124	30
2023-05-09T09:00:00+05:30	1179.6	1182.1	1174.0	1181.5	1534536	45
2023-05-09T10:00:00+05:30	1181.7	1181.95	1179.6	1181.3	606644	60
2023-05-09T11:00:00+05:30	1181.3	1183.3	1179.3	1181.9	643420	60
2023-05-09T12:00:00+05:30	1181.6	1185.2	1179.85	1181.05	743408	60
2023-05-09T13:00:00+05:30	1181.05	1181.6	1179.1	1180.0	513070	60
2023-05-09T14:00:00+05:30	1179.9	1183.4	1176.5	1180.25	1045928	60
2023-05-09T15:00:00+05:30	1181.0	1183.4	1180.15	1180.4	1082268	30
2023-05-10T09:00:00+05:30	1186.7	1191.4	1182.55	1187.5	2121390	45
2023-05-10T10:00:00+05:30	1187.5	1188.0	1184.35	1186.25	1175544	60
2023-05-10T11:00:00+05:30	1186.1	1190.9	1185.1	1189.9	1402398	60
2023-05-10T12:00:00+05:30	1189.9	1191.0	1187.7	1189.6	1281696	60
2023-05-10T13:00:00+05:30	1189.6	1189.9	1186.25	1189.0	958444	60
2023-05-10T14:00:00+05:30	1189.0	1189.6	1187.0	1188.6	1176608	60
2023-05-10T15:00:00+05:30	1188.6	1191.0	1186.7	1187.7	2158510	30
2023-05-11T09:00:00+05:30	1191.0	1195.3	1188.2	1191.9	1542540	45
2023-05-11T10:00:00+05:30	1192.1	1196.0	1191.45	1193.4	1705618	60
2023-05-11T11:00:00+05:30	1193.55	1195.3	1190.55	1191.4	1241756	60
2023-05-11T12:00:00+05:30	1191.05	1193.3	1184.4	1185.3	1046286	60
2023-05-11T13:00:00+05:30	1185.5	1188.65	1184.6	1187.0	1646044	60
2023-05-11T14:00:00+05:30	1187.0	1187.2	1180.35	1182.3	1379314	60
2023-05-11T15:00:00+05:30	1182.5	1184.3	1180.6	1182.9	1521870	30
2023-05-12T09:00:00+05:30	1177.1	1178.7	1170.8	1173.15	1361992	45
2023-05-12T10:00:00+05:30	1173.0	1177.6	1172.9	1175.55	779236	60
2023-05-12T11:00:00+05:30	1175.55	1178.05	1174.8	1176.4	577920	60
2023-05-12T12:00:00+05:30	1176.25	1179.6	1175.5	1179.55	484806	60
2023-05-12T13:00:00+05:30	1179.5	1182.0	1178.1	1181.7	580744	60
2023-05-12T14:00:00+05:30	1181.7	1185.5	1178.3	1185.3	1251226	60
2023-05-12T15:00:00+05:30	1184.35	1185.3	1182.0	1182.6	1574356	30
2023-05-15T09:00:00+05:30	1186.7	1186.7	1178.75	1182.0	870968	45
2023-05-15T10:00:00+05:30	1182.0	1185.3	1182.0	1184.1	637388	60
2023-05-15T11:00:00+05:30	1184.2	1189.55	1184.1	1188.4	746346	60
2023-05-15T12:00:00+05:30	1188.65	1190.9	1187.5	1189.1	717420	60
2023-05-15T13:00:00+05:30	1189.1	1192.9	1188.9	1191.95	828092	60
2023-05-15T14:00:00+05:30	1192.2	1193.6	1189.7	1190.8	1535788	60
2023-05-15T15:00:00+05:30	1190.6	1190.8	1183.9	1184.2	1194964	30
2023-05-16T09:00:00+05:30	1188.65	1190.6	1184.35	1186.15	1616518	45
2023-05-16T10:00:00+05:30	1186.15	1189.1	1184.35	1184.8	947250	60
2023-05-16T11:00:00+05:30	1184.85	1185.3	1176.75	1177.2	1073328	60
2023-05-16T12:00:00+05:30	1177.2	1178.9	1174.35	1176.05	1206002	60
2023-05-16T13:00:00+05:30	1176.1	1178.4	1174.4	1177.05	1371310	60
2023-05-16T14:00:00+05:30	1176.7	1177.6	1170.15	1171.2	1073808	60
2023-05-16T15:00:00+05:30	1171.2	1171.25	1167.75	1170.5	1033612	30
2023-05-17T09:00:00+05:30	1173.9	1174.1	1165.3	1170.7	1161588	45
2023-05-17T10:00:00+05:30	1170.7	1172.4	1166.8	1169.75	1042478	60
2023-05-17T11:00:00+05:30	1170.0	1170.25	1159.4	1159.45	843754	60
2023-05-17T12:00:00+05:30	1159.7	1165.0	1157.65	1161.8	775750	60
2023-05-17T13:00:00+05:30	1161.7	1166.7	1161.0	1164.9	684118	60
2023-05-17T14:00:00+05:30	1165.05	1167.2	1161.95	1163.45	2276542	60
